(3, 4)
(3, 164)
(3, 165)
(3, 166)
(3, 169)
(3, 170)
(3, 172)
(3, 193)
(43, 50)
(43, 51)
(49, 50)
(49, 51)
(84, 121)
(85, 107)
(85, 120)
(86, 87)
(91, 93)
(94, 95)
(103, 106)
(104, 105)
(104, 106)
(108, 110)
(108, 111)
(108, 116)
(118, 119)
(126, 128)
(138, 139)
(143, 144)
(143, 145)
(143, 146)
(143, 148)
(143, 160)
(143, 180)
(143, 181)
(143, 182)
(143, 186)
(150, 151)
(150, 155)
(153, 151)
(156, 151)
(157, 158)
(157, 159)
(157, 162)
(157, 163)
(161, 184)
(171, 164)
(171, 166)
(171, 169)
(171, 170)
(171, 172)
(171, 177)
(171, 179)
(183, 158)
(183, 163)
(185, 182)
(188, 189)
(190, 189)
(192, 170)
(194, 195)
